날짜,총확진자수,당일확진자수
2월27일,2337,571
2월28일,3150,813
2월29일,3736,586
3월1일,4212,476
3월2일,4812,600
3월3일,5328,516
3월4일,5766,438
3월5일,6284,518
3월6일,6767,483
3월7일,7134,367
3월8일,7382,248
3월9일,7513,131
3월10일,7755,242
3월11일,7869,114
3월12일,7979,110
3월13일,8086,107
3월14일,8162,76
3월15일,8236,74
3월16일,8320,84
3월17일,8413,93
3월18일,8565,152
3월19일,8652,87
3월20일,8799,147
3월21일,8897,98
3월22일,8961,64
3월23일,9037,76
3월24일,9137,100
3월25일,9241,104
3월26일,9332,91
3월27일,9478,146
3월28일,9583,105
3월29일,9661,78
3월30일,9786,125
3월31일,9887,101
4월1일,9976,89
4월2일,10062,86
4월3일,10156,94
4월4일,10237,81
4월5일,10284,47
4월6일,10284,
