2020년 04월 07일,확진자,백만 명당 확진자 수,완치자,사망자
전 세계,1346299,173.14,276636,74679
대한민국,10331,199.51,6694,192
미국,367461,1115.02,19522,10910
스페인,136675,2901.78,40437,13341
이탈리아,132547,2200.19,22837,16523
독일,103375,1243.25,25280,1810
중화인민공화국,81740,58.3,77167,3331
프랑스,74390,1109.04,17250,8911
이란,60500,726.02,24236,3739
영국,51608,776.81,—,5373
터키,30217,363.38,1326,649
스위스,21657,2522.2,8056,765
벨기에,20814,1806.07,3986,1632
네덜란드,18803,1077.47,—,1867
캐나다,16653,438.48,3616,323
오스트리아,12297,1381.28,3441,220
브라질,12056,57.05,127,553
포르투갈,11730,1141.43,140,311
이스라엘,8904,969.93,670,57
스웨덴,7347,710.99,219,506
러시아,6343,43.22,406,47
오스트레일리아,5895,229.69,2432,45
노르웨이,5865,1092.67,—,77
아일랜드,5364,1089.91,25,174
체코,4822,450.91,121,78
칠레,4815,252,728,37
덴마크,4681,803.91,1378,187
폴란드,4413,114.98,162,107
인도,4281,3.15,319,111
루마니아,4057,209.07,406,157
말레이시아,3793,115.86,1241,62
에콰도르,3747,214.65,100,191
필리핀,3660,33.74,73,163
일본,3654,29.01,592,73
파키스탄,3505,15.99,259,51
룩셈부르크,2843,4631.09,253,41
사우디아라비아,2605,76.13,551,38
페루,2561,79.7,997,92
인도네시아,2491,9.33,192,209
태국,2220,33.39,793,26
세르비아,2200,315.92,178,58
핀란드,2176,393.66,—,27
멕시코,2143,16.93,634,94
파나마,2100,497.77,13,55
아랍에미리트,2076,209.9,167,11
카타르,1832,666.84,131,4
도미니카 공화국,1828,176.48,17,86
그리스,1755,163.64,269,79
남아프리카 공화국,1686,28.69,45,12
콜롬비아,1579,31.97,88,46
아이슬란드,1562,4288.15,460,6
아르헨티나,1554,34.58,266,46
알제리,1423,33.09,90,173
싱가포르,1375,241.08,344,6
이집트,1322,13.19,259,85
우크라이나,1319,31.49,28,38
크로아티아,1222,299.79,130,16
모로코,1120,31.24,81,80
에스토니아,1108,834.11,62,19
이라크,1031,26.35,344,64
슬로베니아,1021,487.57,84,30
몰도바,965,359.84,37,19
뉴질랜드,943,189.55,241,1
홍콩,915,121.99,216,4
리투아니아,843,301.78,8,14
아르메니아,833,281.66,62,8
바레인,756,489.86,458,4
헝가리,744,76.13,67,38
벨로루시,700,74.36,53,13
보스니아 헤르체고비나,674,204.18,47,29
쿠웨이트,665,150.45,103,1
카자흐스탄,662,35.45,46,6
카메룬,658,24.79,17,9
아제르바이잔,641,63.67,44,7
튀니지,596,50.84,5,22
북마케도니아,570,274.42,27,21
불가리아,549,78.43,39,22
라트비아,542,284.25,1,1
레바논,541,79.26,60,19
슬로바키아,534,97.87,8,2
안도라,526,6783.33,31,21
코스타리카,467,92.33,16,2
우즈베키스탄,457,13.4,30,2
키프로스,455,519.47,37,14
우루과이,415,117.95,93,5
알바니아,377,132.47,131,21
대만,373,15.8,57,5
아프가니스탄,367,11.39,17,7
부르키나 파소,364,17.44,108,18
쿠바,350,31.22,18,9
레위니옹,349,407.32,40,0
요르단,349,32.77,126,6
오만,331,70.96,61,2
코트디부아르,323,12.51,41,3
온두라스,298,32.54,6,22
산마리노,277,8250.43,40,32
니제르,253,11.34,26,10
팔레스타인,253,50.84,24,1
베트남,245,2.55,95,0
모리셔스,244,192.74,—,7
몰타,241,488.29,5,0
나이지리아,238,1.15,35,5
몬테네그로,233,374.38,—,2
세네갈,226,13.94,92,2
키르기스스탄,216,33.06,10,4
가나,214,7.07,3,5
조지아,188,50.49,39,2
볼리비아,183,15.95,2,11
페로 제도,183,3510.86,107,0
스리랑카,178,8.16,38,5
건지,165,2627.72,28,4
베네수엘라,165,5.12,65,7
코소보,165,91.89,24,3
마요트,164,716.82,15,2
콩고 민주 공화국,161,1.8,5,18
케냐,158,3.32,4,6
저지섬,155,1451.31,—,3
마르티니크,151,389.07,50,4
맨섬,139,1668.39,55,1
과들루프,135,331.89,31,7
브루나이,135,305.15,75,1
기니,128,10.48,5,0
방글라데시,123,0.73,33,12
캄보디아,114,7.46,53,0
파라과이,113,15.8,12,5
지브롤터,109,3234.33,52,0
르완다,105,8.49,4,0
트리니다드 토바고,105,76.98,1,7
북키프로스,91,279.14,29,2
지부티,90,83.46,9,0
마다가스카르,82,3.12,2,0
리히텐슈타인,77,1987.15,0,1
모나코,77,2010.44,3,1
프랑스령 기아나,72,252.48,34,0
아루바,71,632.18,2,0
과테말라,70,4.22,15,3
