번호,시도,시군구,선별진료소,전화번호
1,서울,강남구,강남구보건소*,02-3423-5555
2,서울,강남구,삼성서울병원*,02-3410-2114
3,서울,강남구,연세대학교의과대학강남세브란스병원*,02-2019-3114
4,서울,강동구,강동경희대학교의대병원*,02-440-7000
5,서울,강동구,강동구보건소*,02-3425-8565
6,서울,강동구,성심의료재단강동성심병원*,02-2224-2358
7,서울,강동구,한국보훈복지의료공단중앙보훈병원*,02-2225-1100
8,서울,강북구,강북구보건소*,"02-901-7706, 02-901-7704"
9,서울,강서구,강서구보건소*,02-2600-5868
10,서울,강서구,이화여자대학교의과대학부속서울병원*,1522-7000
11,서울,관악구,관악구보건소*,02-879-7131
12,서울,관악구,관악구보건소 신사동 코로나19 건강상담소,02-879-7241
13,서울,관악구,에이치플러스양지병원*,02-1877-8875
14,서울,광진구,광진구보건소*,02-450-1937
15,서울,광진구,광진구보건소 자양보건지소,02-450-7090
16,서울,광진구,건국대학교병원*,02-1588-1533
17,서울,구로구,구로구보건소*,02-860-2003
18,서울,구로구,구로구보건소 가리봉동선별진료소*,02-860-2018
19,서울,구로구,고려대학교의과대학부속구로병원*,02-2626-1114
20,서울,금천구,금천구보건소*,02-2627-2717
21,서울,금천구,독산보건분소,02-2627-1967
22,서울,노원구,노원구보건소*,02-2116-3300~4
23,서울,노원구,노원을지대학교병원,02-970-8000
24,서울,노원구,인제대학교상계백병원*,02-950-1114
25,서울,도봉구,도봉구보건소*,02-2091-4483
26,서울,동대문구,동대문구보건소*,02-2127-4283
27,서울,동대문구,경희대학교병원*,02-958-8114
28,서울,동대문구,삼육서울병원*,1577-3675
29,서울,동대문구,서울특별시동부병원*,02-920-9118~9
30,서울,동작구,동작구보건소*,02-820-9465
31,서울,동작구,동작구보건소 신대방선별진료소,02-832-9404
32,서울,동작구,보라매병원*,02-870-2114
33,서울,마포구,마포구보건소*,02-3153-9037
34,서울,서대문구,서대문구보건소*,02-330-8726
35,서울,서대문구,학교법인연세대학교의과대학세브란스병원*,1599-1004
36,서울,서초구,서초구보건소*,02-2155-8093
37,서울,서초구,학교법인가톨릭학원가톨릭대학교서울성모병원*,02-1588-1511
38,서울,서초구,서울특별시 어린이병원*,02-570-8000
39,서울,성동구,성동구보건소*,02-2286-7172
40,서울,성동구,한양대학교병원*,02-2290-8114
41,서울,성북구,성북구보건소*,02-2241-6022
42,서울,성북구,(학)고려대학교의과대학부속병원(안암병원)*,02-1577-0083
43,서울,송파구,송파구보건소*,02-2147-3478~9
44,서울,송파구,재단법인아산사회복지재단서울아산병원*,02-3010-3114
45,서울,송파구,경찰병원*,02-3400-1933
46,서울,양천구,양천구보건소*,02-2620-3856
47,서울,양천구,서울특별시 서남병원*,1566-6688
48,서울,양천구,이화여자대학교의과대학부속목동병원*,02-1666-5000
49,서울,영등포구,영등포구보건소*,02-2670-4953
50,서울,영등포구,한림대학교강남성심병원*,02-829-5114
51,서울,영등포구,가톨릭대학교 여의도성모병원*,02-1661-7575
52,서울,영등포구,성애의료재단성애병원*,02-840-7114
53,서울,영등포구,명지성모병원,02-829-7800
54,서울,용산구,용산구보건소*,02-2199-8371~4
55,서울,용산구,순천향대학교 부속 서울병원*,02-709-9114
56,서울,은평구,은평구보건소*,02-351-8640
57,서울,은평구,서울특별시립 서북병원*,02-3156-3022
58,서울,은평구,서울특별시 은평병원*,02-300-8060
